id_cliente,nome,email,regiao,idade
21495395037,Elis Teixeira,elis.teixeira+5037@bol.com.br,Sudeste,60
47018816572,Breno Lima,breno.lima+6572@icloud.com,Norte,51
97357438344,Fabiana Barros,fabiana.barros+8344@hotmail.com,Sudeste,50
32844332624,Otávio Cavalcante,otavio.cavalcante+2624@proton.me,Sudeste,49
75640832051,Camila Moreira,camila.moreira+2051@live.com,Sudeste,28
72433635842,Mariana Costa,mariana.costa+5842@yahoo.com,Sudeste,49
19024984398,Caíque Dias,caique.dias+4398@gmail.com,Sul,28
47480010062,Larissa Barreto,larissa.barreto+0062@outlook.com,Nordeste,30
35207703716,João Brito,joao.brito+3716@outlook.com,Sul,62
83697267457,Larissa Moreira,larissa.moreira+7457@yahoo.com,Sul,59
77918825839,Ana Souza,ana.souza+5839@gmail.com,Sudeste,75
44595442171,Ana Toledo,ana.toledo+2171@live.com,Sudeste,33
57565489335,Igor Paiva,igor.paiva+9335@live.com,Sudeste,51
45335226383,Elaine Moreira,elaine.moreira+6383@gmail.com,Nordeste,47
62490511633,João Lima,joao.lima+1633@mail.com,Nordeste,38
91944655812,Diego Gomes,diego.gomes+5812@bol.com.br,Sul,29
34851401989,Caio Peixoto,caio.peixoto+1989@bol.com.br,Nordeste,18
25643093266,Beatriz Carvalho,beatriz.carvalho+3266@proton.me,Norte,30
23987308956,Joana Dutra,joana.dutra+8956@icloud.com,Sul,46
15969449814,Júlia Cavalcante,julia.cavalcante+9814@proton.me,Sudeste,37
90082469992,André Albuquerque,andre.albuquerque+9992@hotmail.com,Sul,48
32630699901,Elaine Barbosa,elaine.barbosa+9901@bol.com.br,Sudeste,66
98803856227,Otávio Oliveira,otavio.oliveira+6227@mail.com,Sudeste,30
25863069109,Daniela Araújo,daniela.araujo+9109@yahoo.com,Sudeste,50
81474141057,Alessandra Teixeira,alessandra.teixeira+1057@icloud.com,Nordeste,29
51942938503,Diego Rocha,diego.rocha+8503@uol.com.br,Sudeste,20
18073510540,Débora Novaes,debora.novaes+0540@mail.com,Sudeste,63
68227968806,Letícia Cavalcante,leticia.cavalcante+8806@gmail.com,Sudeste,27
51801475502,Isabela Batista,isabela.batista+5502@gmail.com,Nordeste,38
26244626557,Camila Dutra,camila.dutra+6557@icloud.com,Sudeste,32
60581174695,Igor Andrade,igor.andrade+4695@gmail.com,Nordeste,50
51473006428,Thiago Maia,thiago.maia+6428@yahoo.com,Nordeste,46
48388457115,Gabriela Costa,gabriela.costa+7115@icloud.com,Nordeste,22
70943476852,Bruno Monteiro,bruno.monteiro+6852@uol.com.br,Sudeste,30
63374464600,Felipe Aguiar,felipe.aguiar+4600@bol.com.br,Centro-Oeste,54
60933315247,Joana Peixoto,joana.peixoto+5247@gmail.com,Nordeste,45
87954577820,Otávio Andrade,otavio.andrade+7820@mail.com,Nordeste,40
40807868277,Vinícius Correia,vinicius.correia+8277@live.com,Sul,53
16364630387,Larissa Pereira,larissa.pereira+0387@gmail.com,Sudeste,40
48868432926,Alice Almeida,alice.almeida+2926@icloud.com,Norte,50
31668092592,Karina Bonfim,karina.bonfim+2592@icloud.com,Nordeste,21
10381593210,Erick Xavier,erick.xavier+3210@live.com,Nordeste,43
77340665158,Cecília Cavalcante,cecilia.cavalcante+5158@icloud.com,Sudeste,57
96106998903,Caio Siqueira,caio.siqueira+8903@icloud.com,Sudeste,42
25714694917,Joana Araújo,joana.araujo+4917@uol.com.br,Sudeste,51
79113060050,Otávio Freitas,otavio.freitas+0050@live.com,Sudeste,41
83105658857,José Paiva,jose.paiva+8857@yahoo.com,Sul,61
29828735081,Cecília Costa,cecilia.costa+5081@mail.com,Sul,30
24363166923,Gabriela Bezerra,gabriela.bezerra+6923@mail.com,Nordeste,29
16646480550,Fernando Brito,fernando.brito+0550@hotmail.com,Norte,59
39724274199,João Peixoto,joao.peixoto+4199@live.com,Centro-Oeste,63
66571741221,Elis Bonfim,elis.bonfim+1221@icloud.com,Sul,41
29589712047,Gustavo Assis,gustavo.assis+2047@live.com,Sudeste,38
62272558681,Cecília Xavier,cecilia.xavier+8681@mail.com,Norte,34
40646532886,Matheus Silva,matheus.silva+2886@hotmail.com,Norte,38
31439257295,Alessandra Araújo,alessandra.araujo+7295@uol.com.br,Nordeste,52
42914711913,Gabriela Moreira,gabriela.moreira+1913@uol.com.br,Sudeste,50
72985049575,Tatiana Pires,tatiana.pires+9575@mail.com,Sudeste,29
10481418414,Eduarda Freitas,eduarda.freitas+8414@hotmail.com,Nordeste,48
28092837722,Rodrigo Batista,rodrigo.batista+7722@yahoo.com,Nordeste,22
29444530164,Daniela Nunes,daniela.nunes+0164@uol.com.br,Sul,33
82300356747,Clara Macedo,clara.macedo+6747@outlook.com,Nordeste,47
75316408896,André Gomes,andre.gomes+8896@uol.com.br,Sudeste,30
46081956559,Alice Azevedo,alice.azevedo+6559@uol.com.br,Sul,61
97773113433,Enzo Pontes,enzo.pontes+3433@proton.me,Sudeste,29
54508630185,João Pinheiro,joao.pinheiro+0185@uol.com.br,Centro-Oeste,25
60419090729,Yasmin Silveira,yasmin.silveira+0729@mail.com,Sudeste,48
85081230543,Jonathan Reis,jonathan.reis+0543@hotmail.com,Nordeste,51
86121011528,Ana Monteiro,ana.monteiro+1528@icloud.com,Sudeste,19
64494079787,Thiago Rangel,thiago.rangel+9787@yahoo.com,Sudeste,62
46915017623,Augusto Costa,augusto.costa+7623@hotmail.com,Sul,42
21340999531,Paula Coelho,paula.coelho+9531@outlook.com,Sul,29
44253553136,Heitor Barreto,heitor.barreto+3136@proton.me,Nordeste,42
66202773920,Daniela Barbosa,daniela.barbosa+3920@mail.com,Sudeste,21
22886483764,Joana Cardoso,joana.cardoso+3764@proton.me,Nordeste,41
97040383855,Vitória Dias,vitoria.dias+3855@live.com,Sul,51
62715860887,Augusto Batista,augusto.batista+0887@icloud.com,Norte,51
99569727928,André Fernandes,andre.fernandes+7928@gmail.com,Nordeste,40
43153533126,Antônio Mendes,antonio.mendes+3126@mail.com,Nordeste,32
96856062272,Breno Pires,breno.pires+2272@bol.com.br,Nordeste,46
98813831073,Caio Ribeiro,caio.ribeiro+1073@bol.com.br,Sudeste,28
20632403467,Patrícia Martins,patricia.martins+3467@bol.com.br,Nordeste,59
63930269356,Beatriz Aguiar,beatriz.aguiar+9356@bol.com.br,Sudeste,63
23823392700,Simone Guimarães,simone.guimaraes+2700@live.com,Sudeste,50
81146692622,Alice Pinheiro,alice.pinheiro+2622@hotmail.com,Sul,42
55400411521,Yasmin Novaes,yasmin.novaes+1521@gmail.com,Norte,49
84526573258,Jonathan Andrade,jonathan.andrade+3258@outlook.com,Sul,68
79570521557,Arthur Araújo,arthur.araujo+1557@mail.com,Norte,24
48834492761,Bárbara Cavalcante,barbara.cavalcante+2761@yahoo.com,Sudeste,40
